Name,District,Address,Name_Per,Telephone,twd97X,twd97Y,wgs84aX,wgs84aY
大榮藥局,中和區,新北市中山路2段127號,周淑慎,02-22497965,296968,2767206,121.4653487,25.01216836
康荃優生保健藥局,中和區,新北市中和區福祥路66號1樓,莊禮維,02-66348688,300405.32,2766417.66,121.4993752,25.00494076
良安藥局,中和區,新北市中和區文元里連城路366號,鐘?茹,9.12E+08,298642.16,2765363.4,121.4818705,24.99548045
惠德藥局,中和區,新北市中和區國光街111號,葉淵源,02-29573563,297432.5,2765917.66,121.4699064,25.00052263
日發藥局,中和區,新北市中和區興南路2段52-4號,林錦西,02-29424926,301138.98,2764223.67,121.5065622,24.98510875
開發大藥局,中和區,新北市中和區興南路1段六號,吳清河,02-29412279,301639.67,2764936.47,121.5115484,24.991527
博健藥局,中和區,新北市中和區忠孝街37巷4號,湯博健,02-29402107,301612.42,2764066.68,121.511246,24.98367542
溫莎藥局,中和區,新北市中和區員山路292號,鄭百裕,02-82277275,298589.42,2766131.14,121.4813752,25.00241329
里安藥局,中和區,新北市中和區員山路271-1號2樓,吳嘉盛,02-32347111,298569.65,2765809.43,121.481168,24.99950958
弘安藥局,中和區,新北市中和區德光路121-1號1樓,吳瑞意,02-29646489,297228.92,2766191.53,121.4678991,25.00300152
躍獅康銓藥局,中和區,新北市中和區莒光路146號1樓,李思賢,02-29646452,297691.68,2765958.42,121.4724755,25.00088253
美佳大藥局,中和區,新北市中和區景安路185號,陳炳州,02-29496560,300973.76,2765105.81,121.5049582,24.99307826
躍獅天晴藥局,中和區,新北市中和區和平街9號1樓,吳彥寬,02-29491931,301434.93,2764793.99,121.5095149,24.99024764
聖康藥師藥局,中和區,新北市中和區自立路39號1樓,黃承章,02-29478002,302714.8,2765355.06,121.5222143,24.99526898
悠悅藥局,中和區,新北市中和區安樂路25號2樓,周亮良,02-29463755,301646.44,2765023.52,121.5116187,24.99231263
吉立藥局,中和區,新北市中和區自立路183號1樓,莊順發,02-29400461,302852.2,2764978.51,121.5235611,24.99186468
