Name,District,Address,twd97X,twd97Y,wgs84aX,wgs84aY
健群藥局,蘆洲區,新北市蘆洲區中華街71號2樓,296630.09,2774788.11,121.4622574,25.08063035
廣英藥師藥局,蘆洲區,新北市蘆洲區中正路6號1樓,297579.25,2774928.11,121.4716713,25.08186467
北聯藥局,蘆洲區,新北市蘆洲區民族路361號1樓,297584.13,2776008.35,121.471757,25.09161688
龍成藥局,蘆洲區,新北市蘆洲區民族路53號,298276.07,2775336.82,121.4785934,25.08553232
威仕康藥局,蘆洲區,新北市蘆洲區民權路122號1樓,297753.54,2775683.48,121.4734253,25.08867864
幸安藥局,蘆洲區,新北市蘆洲區中山二路53號1樓,297791.84,2774967.73,121.4737801,25.08221566
好美麗健康藥局,蘆洲區,新北市蘆洲區光明路6號1樓,296458.23,2775429.64,121.4605755,25.08642733
康得健藥局,蘆洲區,新北市蘆洲區長安街260號1樓,296148.18,2775442.94,121.4575022,25.08655692
宏祐藥局,蘆洲區,新北市蘆洲區復興路202號1樓,298260.99,2775719.54,121.4784573,25.08898797
康泉藥師藥局,蘆洲區,新北市蘆洲區集賢路224巷2號1樓,298651.86,2775475.97,121.4823236,25.08677656
知達健保藥局,蘆洲區,新北市蘆洲區長榮路502號1樓,296362.48,2775794.97,121.4596386,25.08972846
中美永結藥局,蘆洲區,新北市蘆洲區長安街185號1樓,296454.54,2774905.31,121.4605211,25.08169378
微笑杏鄰藥局,蘆洲區,新北市蘆洲區中正路15號1樓,297549.87,2774931.32,121.4713801,25.08189458
信義萊康藥局,蘆洲區,新北市蘆洲區信義路260號1樓,298244.33,2775475.46,121.4782835,25.08678498
永恩健康藥局,蘆洲區,新北市蘆洲區民族路414號1樓,297849.98,2776012.45,121.4743929,25.09164546
慶明藥局,蘆洲區,新北市蘆洲區中山二路46巷4號2樓,297867.81,2774966.73,121.4745332,25.08220422
廷升藥局,蘆洲區,新北市蘆洲區中正路122號1樓,297351.86,2775257.85,121.4694285,25.0848487
愛佳健保藥局,蘆洲區,新北市蘆洲區長榮路96號1樓,296621.73,2775149.58,121.4621868,25.08389394
隆生藥局,蘆洲區,新北市蘆洲區民族路52號1樓,298116.17,2775219.06,121.477004,25.08447429
全家藥粧藥局,蘆洲區,新北市蘆洲區光華路6號1樓,297392.88,2775122.17,121.4698305,25.08362243
長榮專業藥局,蘆洲區,新北市蘆洲區長榮路250號2樓,296466,2775359.03,121.4606501,25.08578968
萊康連鎖藥局,蘆洲區,新北市蘆洲區中正路126號1樓,297344.18,2775266.98,121.4693528,25.08493135
芯聯藥局,蘆洲區,新北市蘆洲區民族路210號,298398.79,2775569.64,121.4798181,25.08763027
躍獅蘆洲藥局,蘆洲區,新北市蘆洲區長安街329號1樓,296127.01,2775442.14,121.4572923,25.0865504
三鐵藥局,蘆洲區,新北市蘆洲區信義路226號1樓,298312.55,2775323.02,121.4789544,25.08540656
華粲藥局,蘆洲區,新北市蘆洲區民族路90號2樓,298209.54,2775271.51,121.4779315,25.08494489
安而健藥局,蘆洲區,新北市蘆洲區樓厝里中興街54號1樓,298585.72,2775545.29,121.4816703,25.08740449
陽光幸福藥局,蘆洲區,新北市蘆洲區重陽街88號1樓,298628.69,2775227.88,121.4820851,25.08453754
華安大藥局,蘆洲區,新北市蘆洲區長安街48號1樓,296736.01,2774688.17,121.463304,25.07972479
宥安藥局,蘆洲區,新北市蘆洲區長榮路381號2樓,296322.96,2775766.65,121.4592458,25.08947399
快樂藥局長榮店,蘆洲區,新北市蘆洲區永樂街2號1樓,296314.9,2775639.84,121.4591616,25.08832945
吉安藥局,蘆洲區,新北市蘆洲區長安街285巷1號1樓,296212.61,2775196.6,121.4581327,25.08433098
康群生活藥局,蘆洲區,新北市蘆洲區中正路105號1樓,297385.2,2775174.55,121.4697562,25.08409563
長安藥局,蘆洲區,新北市蘆洲區中華街67號1樓,296639.35,2774800.02,121.4623496,25.08073755
慧安藥局,蘆洲區,新北市蘆洲區長安街214號1樓,296246.42,2775200.2,121.4584679,25.08436249
弘大藥局,蘆洲區,新北市蘆洲區信義路2號,297756.8,2774614.59,121.4734205,25.07902861
