Name,District,Address,twd97X,twd97Y,wgs84aX,wgs84aY
茂晟藥局,林口區,新北市林口區文化三路2段328號1樓,288148.18,2775219.39,121.3781874,25.08476199
林口啄木鳥藥局,林口區,新北市林口區仁愛路2段80號,288745.35,2774196.84,121.3840786,25.07551519
康旭藥局,林口區,新北市林口區麗園一街6巷9號1樓-3,287847.86,2773733.62,121.3751693,25.07135589
蛋寶寶藥局,林口區,新北市林口區民有街158號1樓,287578.5,2774241.97,121.3725132,25.0759521
大心藥局,林口區,新北市林口區公園路19號1樓,286990.17,2773318.24,121.3666564,25.06762703
林康藥局,林口區,新北市林口區文化二路1段222號1樓,287278.23,2773831.57,121.3695255,25.07225435
欣穎藥局,林口區,新北市林口區文化二路1段535號1樓,287726.28,2774301.08,121.3739797,25.07648206
普生藥局,林口區,新北市林口區中山路188號1樓-1,289260.41,2774596.02,121.3891956,25.07910569
榮昌藥局,林口區,新北市林口區仁愛路1段410號,289012.44,2774343.59,121.3867303,25.07683312
綠園藥局,林口區,新北市林口區仁愛路2段105號1樓,288764.51,2774147.57,121.3842672,25.07506988
榮新藥局,林口區,新北市林口區忠孝路383號1樓,287284.6,2773748.64,121.3695865,25.07150551
龍點藥局,林口區,新北市林口區民族路67號1樓,286870.68,2774170.17,121.3654948,25.07532131
安心藥局,林口區,新北市林口區文化二路1段577號1樓,287933.62,2774548.78,121.3760418,25.0787131
家弘藥局,林口區,新北市林口區竹林路172號1樓,289244.18,2774670.01,121.3890369,25.07977408
士昌藥局,林口區,新北市林口區工六路36號1樓,290488,2774321,121.4013566,25.07659038
安禾藥局,林口區,新北市林口區中山路534號1樓,288179.98,2775101.24,121.3784993,25.08369455
狀元葯師藥局,林口區,新北市林口區文化二路1段62號1樓-1,286867.7,2773387.57,121.3654443,25.06825601
存明藥局,林口區,新北市林口區中山路91號,289317.18,2774550.14,121.3897571,25.07868997
長康藥局,林口區,新北市林口區中山路166號1樓,289359.05,2774578.31,121.3901729,25.07894322
宏宇藥局,林口區,新北市林口區中正路288號1樓,289212,2774447.01,121.3887115,25.07776164
麗園藥局,林口區,新北市林口區東勢里麗園一街6巷1-4號1樓,287993.16,2773597.3,121.3766058,25.07012159
旺林藥局,林口區,新北市林口區文化二路1段228號,287296.6,2773847.94,121.3697081,25.0724017
喜樂藥師藥局,林口區,新北市林口區公園路15號1樓,286971.24,2773317.05,121.3664687,25.06761675
安康藥局,林口區,新北市林口區仁愛路2段60號,288796.85,2774217.65,121.3845897,25.07570175
家欣藥師藥局,林口區,新北市林口區文化二路1段567號1樓,287842.11,2774462.72,121.3751323,25.07793842
