Name,District,Address,Name_Per,Telephone,twd97X,twd97Y,wgs84aX,wgs84aY
¤[¦wÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¼s©úµó70¸¹1¼Ó,¶À±R³s,02-89671097,295935.18,2765168.14,121.4550482,24.99380206
«HÂ×ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¹AÂ×µó12¸¹,³¯²Qªâ,02-22609764,294671.24,2762955.97,121.442456,24.97386808
¬¡¤OÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q158¸¹1¼Ó,§õ®a¼y,02-22748877,295865.05,2764398.61,121.454328,24.98685674
µÎ¥ÁÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©ú¼w¸ô1¬q35¸¹2¼Ó,ªô¥É¨Î,02-22748654,296971.56,2764239.1,121.4652831,24.98538286
¤j±dÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q72¸¹2¼Ó,§õ©{À§,02-22738004,296098.33,2764558.41,121.456644,24.9882924
¥Á¦ëÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç¦¨¸ô172¸¹,·¨ºÑ³s,02-22701485,295217.12,2764632.08,121.4479175,24.98898405
¿ßÀYÆNÃÄ§©ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô3¬q88¸¹¡B90¸¹1¼Ó,§õ¦³®Ë,02-22695659,294030.7,2762195.53,121.4360876,24.96702138
®a®xÃÄ®v³sÂêÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Í¸ô23¸¹1¼Ó,³¯­³¸©,02-22663601,295249.62,2764441.13,121.4482332,24.98725915
¼w¶©ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô153¸¹1¼Ó,±i¶®´A,02-22656056,295653.57,2764297.77,121.4522298,24.98595271
¨|¨ÎÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ïª÷«°¸ô2¬q242«Ñ7¸¹1¼Ó,ªL«H§µ,02-22645692,296177.82,2763975.38,121.457412,24.98302629
¼sª@°·«OÃÄ®vÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©ú¼w¸ô1¬q53¸¹,¶À¤å°],02-22638300,296972.24,2764170.5,121.4652874,24.98476351
°·¸sÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô80¸¹2¼Ó,µ{°ê¬Ã,02-22634747,295416.71,2764436.6,121.4498882,24.98721325
®H»ÍÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô164¸¹1¼Ó,·¨§¡Üå,02-22630230,295652.85,2764268.2,121.4522218,24.98568584
¦N«°¤jÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q205¸¹1¼Ó,¾H³ÕÂ@,02-22626870,295606.66,2764146.58,121.4517602,24.98458921
¬ü±dÃÄ§©ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©µ¦Nµó254¸¹1¼Ó,³\®aºa,02-22616868,297079.69,2764157.92,121.4663514,24.98464653
°ê¦w°·«OÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©µ©M¸ô109¸¹1¼Ó,§Å©y¼ä,02-22614933,297220.94,2764787.7,121.4677721,24.99032786
ÀöÂEÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©µ©M¸ô191¸¹,¤ý´Â¶§,02-82622588,297366.34,2764790.96,121.4692124,24.99035276
¸Î¹FÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©µ¦Nµó171¸¹,§õªü½t,02-22739328,297416.68,2764283.69,121.4696937,24.9857715
¶¶Ä×ÃÄ®vÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©µ©M¸ô16-3¸¹1¼Ó,³¯Ä×¤å,02-22648655,296861.35,2764528.68,121.4642012,24.98800058
¨ÎÀMÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q170¸¹1¼Ó,¾G©v¶v,02-22641425,295820.76,2764371.46,121.4538884,24.98661302
ÄR½§ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ïª÷«°¸ô3¬q33«Ñ6-1¸¹1¼Ó,Áé¥\§»,02-22640600,296994.43,2764404.96,121.4655153,24.9868795
¸U©÷°·«OÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô4¬q160¸¹,±i§ÓÀA,9.21E+08,292105.68,2761219.73,121.4169926,24.95826631
¤@©MÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô1¬q67-3¸¹,±i§»²Ô,02-22634343,295210.73,2764729.99,121.4478574,24.9898681
«w¦wÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©ú¼w¸ô1¬q4¸¹1¼Ó,ª÷®aµX,02-22627434,296912.46,2764277.22,121.464699,24.98572882
