Name,District,Address,Name_Per,Telephone,twd97X,twd97Y,wgs84aX,wgs84aY
捷元健保藥局,三重區,新北市三重區三賢街185號1樓,吳慧琍,02-82877107,299056.4,2775536.84,121.4863362,25.08731299
幸福藥妝藥局,三重區,新北市三重區正義北路342號1樓,游象淋,02-29896858,299873.6,2773714.07,121.4943714,25.07083034
兒安藥局,三重區,新北市三重區中華路59號,林瑞雲,02-29895851,298788.04,2772760.07,121.4835773,25.06225308
聖美膚藥局,三重區,新北市三重區正義北路130號,吳珍妮,02-29863456,300111.93,2773148.08,121.4967132,25.06571273
天佑藥局,三重區,新北市三重區大同北路8號1樓、10號1樓,黃仁揚,02-29857456,299980.28,2772744.38,121.4953937,25.06207243
欽勝藥局,三重區,新北市三重區重陽路4段6號2樓,吳玫瑤,02-29857389,299497.15,2773502.77,121.4906324,25.06893506
銘泰藥局,三重區,新北市三重區三和路4段153號2樓,彭雅各,02-22876452,298818.15,2774546.21,121.4839391,25.07837729
永福藥局,三重區,新北市三重區永福街135巷40號1樓,王啟昭,02-22807023,298140.74,2774416.06,121.4772195,25.0772241
寶貝藥局,三重區,新北市三重區仁愛街302-1號,劉桂娟,9.36E+08,299640.05,2774666.93,121.4920909,25.0794404
慶昇藥局,三重區,新北市三重區光明路88號,林鴻基,02-29854256,299674.53,2772153.11,121.4923419,25.05674461
杜廣德藥師藥局,三重區,新北市三重區大智街53號,杜介星,02-29843152,299713.86,2773371.78,121.4927757,25.06774538
裕福藥局,三重區,新北市三重區長壽西街144號,盧伯作,02-29831769,299832.03,2773246.53,121.4939425,25.06661072
建芳藥局,三重區,新北市三重區集美街174號,吳雪敏,02-29763351,299480.07,2771761.2,121.4904005,25.05321276
志雄藥局,三重區,新北市三重區三和路2段220號,楊志明,02-29751803,300220.92,2773567.49,121.4978088,25.06949549
閎安藥局,三重區,新北市三重區重新路2段79號1樓,羅友成,02-89942121,300076.71,2772718.07,121.4963485,25.06183174
予康藥局,三重區,新北市三重區文化北路198號1樓,鐘偉綸,02-89858789,300237.54,2773395.7,121.4979673,25.06794402
慈愛藥局,三重區,新北市三重區溪尾街173號1樓,邵敏蓉,02-89851330,299313.01,2774768.16,121.4888525,25.08036495
康慈藥局,三重區,新北市三重區忠孝路2段40號1樓,梅至剛,02-89813529,298965.24,2773680.36,121.4853664,25.07055573
景康藥局,三重區,新北市三重區集美街29號1樓,許國裕,02-89731717,299225.83,2772050.47,121.4878911,25.05583266
康希藥局,三重區,新北市三重區三和路2段83號1樓,蔡慧儒,02-89728298,300429.02,2773425.22,121.4998663,25.06820413
萊康健保藥局,三重區,新北市三重區溪尾街176號1樓,黃士豪,02-82871076,299278.48,2774793.77,121.4885112,25.08059733
安立藥局,三重區,新北市三重區正義北路317號1樓,劉嬌蓮,02-66252626,299853.88,2773767.08,121.4941779,25.0713095
天賜藥局,三重區,新北市三重區正義北路141號1樓,羅雅貞,02-29856852,300109.6,2773261.93,121.4966942,25.06674059
健康藥局,三重區,新北市三重區安樂街58號1樓,王子亮,02-29841882,299967.73,2773558.75,121.4952988,25.069425
