Name,District,Address,Name_Per,Telephone,twd97X,twd97Y,wgs84aX,wgs84aY
三峽文化藥局,三峽區,新北市三峽區文化路212-2號,張育維,02-26710825,287227.53,2758747.2,121.3686163,24.93607108
一大藥局,三峽區,新北市三峽區橫溪路23號,李明興,02-86767777,290028.6,2758729.83,121.3963507,24.93584307
欣美大藥局,三峽區,新北市三峽區大同路52號,何森華,02-86712269,288070.92,2757923.43,121.3769446,24.92861298
大家好藥粧藥局,三峽區,新北市三峽區大德路127號1樓,謝欣富,02-26747022,287957.56,2759685.5,121.3758705,24.94452425
誠祐藥局,三峽區,新北市三峽區光明路22號1樓,楊宗憲,02-26746211,287710.21,2758169.13,121.3733799,24.93084025
北大藥局,三峽區,新北市三峽區大義路9號1、2樓,林純鈺,02-26738535,288252.83,2759597.67,121.3787919,24.9437239
祥祐藥局,三峽區,新北市三峽區文化路125號1樓,何信澤,02-26738080,287359.74,2758737.97,121.3699252,24.93598448
如音藥局,三峽區,新北市三峽區文化路266-1號1樓,陳文英,02-26732119,286976.19,2758722.77,121.3661271,24.93585663
兆康藥局,三峽區,新北市三峽區中華路22號1樓,劉桂卿,02-26717977,287790.52,2758370.11,121.3741805,24.93265275
大和藥局,三峽區,新北市三峽區民生街150號,王聖豪,02-26711010,287585.94,2758619.93,121.3721617,24.93491321
全球藥師藥局,三峽區,新北市三峽區文化路95號,黃淑怡,02-26748128,287482.44,2758747.28,121.3711404,24.93606554
康美藥局,三峽區,新北市三峽區民生街79號2樓,林秀鳳,02-26745526,287862.46,2758724.98,121.3749025,24.93585477
致安藥師藥局,三峽區,新北市三峽區中華路17號1樓,紀美玲,02-26743418,287691,2758246.14,121.3731918,24.93153597
人來安藥局,三峽區,新北市三峽區文化路266-5號,陳偉仁,02-26721199,286976.19,2758722.77,121.3661271,24.93585663
誠美藥局,三峽區,新北市三峽區復興路106號1樓,郭鎮瑋,02-26718131,287635.98,2758940.12,121.3726659,24.93780274
三恩藥局,三峽區,新北市三峽區復興路451號1樓,林昭安,02-28670737,286604.66,2759004.59,121.3624558,24.93840995
盛加藥局,三峽區,新北市三峽區民生街49號1樓,莊勝雄,02-26739797,287924.44,2758763.58,121.3755173,24.93620175
惠慈藥局,三峽區,新北市三峽區復興路66號,林美玲,02-26738688,287713.98,2758878.26,121.3734365,24.93724236
勝全藥局,三峽區,新北市三峽區大同路27-1號1樓,蔡溪原,02-26736186,288076.27,2757899.81,121.3769969,24.92839958
盛禾藥局,三峽區,新北市三峽區中山路243號1樓,鄭秀羚,02-26735999,286614.9,2758869.66,121.3625536,24.93719158
升威藥局,三峽區,新北市三峽區文化路23號1樓,吳冠甫,02-26731120,287677.46,2758724.39,121.3730707,24.93585404
恆豐藥局,三峽區,新北市三峽區信義街24號,周萬豐,02-26711325,287449,2758688.67,121.3708077,24.93553718
進安大藥局,三峽區,新北市三峽區民生街174號,林勝隆,02-26711125,287495.13,2758621.55,121.3712627,24.93493008
大家好學成藥局,三峽區,新北市三峽區大學路87號1樓,賴美珍,02-26747022,287960.65,2759373.49,121.3758925,24.94170726
大新藥局,三峽區,新北市三峽區大義路259號1樓,陳秀梅,9.22E+08,288111.28,2759892.05,121.3773983,24.94638519
盛台藥局,三峽區,新北市三峽區大學路108號1、2樓,陳杏女,02-26722730,287865.51,2759605.35,121.3749568,24.94380295
悅兒藥局,三峽區,新北市三峽區學成路329號1樓,謝明芳,02-86741633,288075.54,2759729.58,121.3770399,24.94491922
有新藥局,三峽區,新北市三峽區學勤路18號1樓,陳思萍,02-26710769,287784.19,2759781.94,121.3741564,24.94539925
三峽藥局,三峽區,新北市三峽區介壽路1段27號1樓,王裕閔,02-26738868,287941.18,2758432.81,121.375674,24.93321504
益銘藥師藥局,三峽區,新北市三峽區大德路181號1樓,許義鋐,02-26723662,287901.94,2759819.07,121.3753233,24.94573157
中園藥局,三峽區,新北市三峽區弘園街37號1樓,劉得懿,02-26733237,287086.78,2757800.98,121.3671974,24.92753179
三峽大昌藥局,三峽區,新北市三峽區民生街56號,呂文凱,02-26711560,287891.75,2758782.73,121.3751941,24.93637547
